STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
ALABAMA,AL,Dale,1045,"Dale County, Alabama",561.1006284,49255,23065,18670,8798,1738,23837,4732,7939,11506,9906,1538,15250,461,277,4200,313,1023,1263,18.4,8.8,23837,14.2,16.1,23.4,21.3,8.2,31,1,1.2,18.2,1.7,5.5,2.6,0.7236,0.885,0.6758,0.6129,2.8973,0.779,0.2983,0.6406,0.8781,0.5053,2.3223,0.7463,0.7017,0.5791,1.2808,0.6772,0.2216,0.737,0.4056,0.4677,0.6059,2.4378,0.455,8.9382,0.7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5274,600,11.4,1.3,47664
ALABAMA,AL,Elmore,1051,"Elmore County, Alabama",618.4462511,81212,34004,29143,9462,2219,27475,7594,11770,18239,13646,2679,21741,509,895,5123,422,1364,4424,12.3,6.2,27475,13.6,14.5,22.5,17.9,9.2,26.8,0.7,2.6,15.1,1.4,4.7,5.4,0.3309,0.6207,0.4086,0.5829,1.9431,0.4911,0.1786,0.5151,0.6982,0.6702,2.0621,0.5422,0.6536,0.4642,1.1178,0.581,0.4575,0.653,0.2964,0.32,0.8262,2.5531,0.5177,7.6761,0.5401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6227,816,8.2,1.1,61316
ALABAMA,AL,Etowah,1055,"Etowah County, Alabama",535.2816213,102939,47705,38777,17524,2945,24065,11147,18877,22281,19976,3443,22565,1184,1484,5228,462,2441,1340,17.3,6.5,24065,15.5,18.3,21.6,19.6,8.9,21.9,1.2,3.1,11,1.2,6.3,1.3,0.6707,0.6697,0.6554,0.6804,2.6762,0.7169,0.5215,0.3862,0.8093,0.6234,2.3404,0.7587,0.5899,0.631,1.2209,0.6396,0.5202,0.5027,0.2203,0.5906,0.2582,2.092,0.2904,8.3295,0.6564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10662,765,10.4,0.7,97106
ALABAMA,AL,Henry,1067,"Henry County, Alabama",561.7500782,17124,9096,6669,2270,494,24069,2412,3696,3587,3145,474,5319,51,71,2358,52,369,311,13.5,6.7,24069,19.8,21.6,20.9,18.7,7.1,31.1,0.3,0.8,25.9,0.8,5.5,1.8,0.4115,0.6968,0.6551,0.8405,2.6039,0.6971,0.8004,0.3091,0.7574,0.3123,2.1792,0.6374,0.7026,0.227,0.9296,0.4725,0.1369,0.8905,0.0981,0.4677,0.4448,2.038,0.2713,7.7507,0.5519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917,386,11.4,2.3,13595
ALABAMA,AL,Houston,1069,"Houston County, Alabama",579.8690621,104352,47187,39253,18913,3354,25990,10261,17615,24386,18385,4080,34526,581,2403,6473,487,2438,938,18.3,7,25990,14.3,16.9,23.4,17.8,10.4,33.1,0.6,5.1,13.7,1.2,6.2,0.9,0.7178,0.7347,0.5213,0.6189,2.5927,0.6943,0.3763,0.6406,0.6896,0.8077,2.5142,0.8542,0.7243,0.4187,1.143,0.5938,0.7065,0.6103,0.2203,0.5788,0.1165,2.2324,0.3502,8.4823,0.6838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10737,568,10.4,0.5,106936
ALABAMA,AL,Jackson,1071,"Jackson County, Alabama",1077.986767,52094,25106,20626,10418,1277,21608,6526,9972,11159,9712,1525,5557,219,354,4912,446,940,660,20.2,5.9,21608,17.5,19.1,21.4,18.8,7.4,10.7,0.4,1.4,19.6,2.2,4.6,1.3,0.7968,0.5669,0.8252,0.7587,2.9476,0.7927,0.5995,0.3629,0.7638,0.3613,2.0875,0.5635,0.3636,0.297,0.6606,0.3126,0.2579,0.7733,0.5801,0.3012,0.2582,2.1707,0.3231,7.8664,0.5726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4974,479,9.6,0.9,46376
ALABAMA,AL,Lauderdale,1077,"Lauderdale County, Alabama",668.0128629,92585,44792,38514,13703,2267,27189,7979,17876,18522,13503,2923,14084,504,2357,4083,475,2698,2209,15.2,5.3,27189,12.6,19.3,20,14.7,7.6,15.2,0.6,5.3,9.1,1.2,7,2.4,0.5287,0.4691,0.4309,0.5269,1.9556,0.4946,0.6234,0.2162,0.425,0.3961,1.6607,0.2451,0.476,0.4187,0.8947,0.4464,0.7195,0.4276,0.2203,0.6829,0.5769,2.6272,0.5622,7.1382,0.4468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8328,783,9.1,0.9,80602
ALABAMA,AL,Lawrence,1079,"Lawrence County, Alabama",690.6840635,33171,15373,12811,5508,766,23557,4919,5787,7232,6750,937,7781,62,128,3458,195,705,232,16.8,5.7,23557,21,17.4,21.8,20.5,7.3,23.5,0.2,0.8,22.5,1.5,5.5,0.7,0.6395,0.5344,0.6946,0.8781,2.7466,0.7373,0.432,0.418,0.8462,0.3435,2.0397,0.5186,0.6154,0.1477,0.7631,0.3725,0.1369,0.8373,0.3359,0.4677,0.0729,1.8507,0.2028,7.4001,0.4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2686,335,8.2,1,22621
ALABAMA,AL,Limestone,1083,"Limestone County, Alabama",559.955192,93052,36069,32126,12384,2957,27699,10123,13723,21412,14690,2435,21498,837,1297,4536,588,1171,2872,13.7,6.9,27699,15.7,14.7,23,16.3,7.6,23.1,1,3.6,12.6,1.8,3.6,3.1,0.4229,0.7232,0.3946,0.6883,2.229,0.5812,0.1917,0.5915,0.5756,0.3961,1.7549,0.2999,0.6094,0.5791,1.1885,0.6186,0.5788,0.568,0.4457,0.1573,0.6819,2.4317,0.4521,7.6041,0.5296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8634,928,9.6,1,78218
ALABAMA,AL,Madison,1089,"Madison County, Alabama",801.5829707,357560,159299,145256,45960,10632,35526,21617,51308,79195,46042,11785,125445,3762,16210,7081,1939,7103,8842,13.2,5.8,35526,8.9,14.3,22.1,13.1,8.1,35.1,1.1,10.2,4.4,1.3,4.9,2.5,0.3908,0.5481,0.0822,0.2607,1.2818,0.2863,0.1687,0.4642,0.2649,0.49,1.3878,0.1219,0.7472,0.6087,1.3559,0.7217,0.8812,0.1977,0.2604,0.3572,0.5944,2.2909,0.3836,6.3164,0.3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31451,1695,8.9,0.5,377577
ALABAMA,AL,Marshall,1095,"Marshall County, Alabama",565.8447822,95145,40630,34896,20354,2091,23833,12151,15941,23654,14599,3207,17848,3549,660,6000,912,1675,1030,21.7,5.1,23833,19.1,16.8,24.9,15.5,9.2,18.8,4,1.6,14.8,2.6,4.8,1.1,0.8427,0.4303,0.6764,0.8166,2.766,0.7427,0.3664,0.8188,0.5005,0.6702,2.3559,0.7682,0.5476,0.8895,1.4371,0.7708,0.298,0.6444,0.6864,0.3381,0.185,2.1519,0.3149,8.7109,0.7261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12367,941,13.1,1,91060
ALABAMA,AL,Mobile,1097,"Mobile County, Alabama",1229.369243,414659,183164,155831,78208,11514,25215,38247,63650,98337,57257,16849,177672,2858,16422,14083,3108,10391,8948,19.3,6.2,25215,13.8,15.3,23.7,14,10.8,42.8,0.7,9,7.7,2,6.7,2.2,0.7592,0.6207,0.5745,0.5922,2.5466,0.6815,0.2359,0.6826,0.3524,0.8462,2.1171,0.5899,0.8268,0.4642,1.291,0.6845,0.8577,0.3639,0.518,0.6425,0.5409,2.923,0.723,8.8777,0.7532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47466,2228,11.6,0.5,385627
ALABAMA,AL,Morgan,1103,"Morgan County, Alabama",579.389645,119122,51951,45646,17920,2815,25907,13706,19865,27384,19687,4170,28625,2348,2715,5771,1098,2415,1865,15.3,5.2,25907,16.7,16.7,23,16.8,9.1,24,2.1,5.2,11.1,2.4,5.3,1.6,0.536,0.449,0.5268,0.7313,2.2431,0.5838,0.3566,0.5915,0.6164,0.653,2.2175,0.6702,0.6224,0.774,1.3964,0.7504,0.7138,0.5046,0.6313,0.4225,0.3792,2.6514,0.5775,8.5084,0.6895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11937,1053,10.2,0.9,110465
ALABAMA,AL,Randolph,1111,"Randolph County, Alabama",580.5491197,22574,12056,8643,3912,451,23247,3340,4512,4914,3193,706,5583,58,197,2832,253,605,489,17.7,5,23247,21.2,20,21.8,14.3,8.2,24.7,0.3,1.6,23.5,2.9,7,2.2,0.6914,0.4166,0.7169,0.8812,2.7061,0.7252,0.6851,0.418,0.389,0.5053,1.9974,0.4814,0.6304,0.227,0.8574,0.4266,0.298,0.8535,0.7434,0.6829,0.5409,3.1187,0.8157,8.6796,0.7191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2345,453,10.5,2,18092
ALABAMA,AL,Russell,1113,"Russell County, Alabama",641.1523375,58213,27426,22740,11491,2000,22055,6495,7776,14358,10638,2604,30859,560,890,4266,713,2230,574,20.1,7.8,22055,16.7,13.4,24.7,18.8,11.5,53,1,3.2,15.6,3.1,9.8,1,0.792,0.815,0.7965,0.7313,3.1348,0.8433,0.1238,0.8017,0.7638,0.8918,2.5811,0.88,0.8933,0.5791,1.4724,0.7937,0.5333,0.6663,0.7803,0.8984,0.1525,3.0308,0.7768,10.2191,0.9115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7590,783,13.4,1.4,45228
ALABAMA,AL,St. Clair,1115,"St. Clair County, Alabama",631.6030046,87306,36628,32172,11268,2188,24861,9255,13891,19998,14055,2319,12197,391,619,8772,277,979,2200,13.2,5.3,24861,15.2,15.9,22.9,16.5,7.2,14,0.5,1.7,23.9,0.9,3,2.5,0.3908,0.4691,0.5975,0.666,2.1234,0.5475,0.2811,0.5715,0.5899,0.3247,1.7672,0.3088,0.4479,0.3582,0.8061,0.3961,0.32,0.8606,0.1223,0.092,0.5944,1.9893,0.2502,6.686,0.3656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7553,985,8.8,1.2,67607
