County,State,Population,Total_cases,Total_deaths
Butler,NEBRASKA,8016,1019,11
Cass,NEBRASKA,26248,3306,16
Cedar,NEBRASKA,8402,890,11
Chase,NEBRASKA,3924,491,5
Cherry,NEBRASKA,5689,390,7
Cheyenne,NEBRASKA,8910,1102,16
Clay,NEBRASKA,6203,860,11
Colfax,NEBRASKA,10709,1697,21
Cuming,NEBRASKA,8846,1121,15
Custer,NEBRASKA,10777,1154,19
Dakota,NEBRASKA,20026,4422,65
Dawes,NEBRASKA,8589,945,12
Dawson,NEBRASKA,23595,3429,31
Deuel,NEBRASKA,1794,141,1
Dixon,NEBRASKA,5636,696,9
Dodge,NEBRASKA,36565,5551,62
Douglas,NEBRASKA,571327,83473,718
Dundy,NEBRASKA,1693,227,4
Fillmore,NEBRASKA,5462,675,8
Franklin,NEBRASKA,2979,291,4
Frontier,NEBRASKA,2627,327,1
Furnas,NEBRASKA,4676,581,5
Gage,NEBRASKA,21513,2468,19
Garden,NEBRASKA,1837,146,1
Garfield,NEBRASKA,1969,248,1
Gosper,NEBRASKA,1990,220,5
Grant,NEBRASKA,623,58,4
Greeley,NEBRASKA,2356,260,1
Hall,NEBRASKA,61353,9405,117
Hamilton,NEBRASKA,9324,1204,17
Harlan,NEBRASKA,3380,252,0
Hayes,NEBRASKA,922,67,0
Hitchcock,NEBRASKA,2762,313,5
Holt,NEBRASKA,10067,1102,16
Hooker,NEBRASKA,682,67,2
Howard,NEBRASKA,6445,666,10
Jefferson,NEBRASKA,7046,764,1
Johnson,NEBRASKA,5071,679,9
Kearney,NEBRASKA,6495,794,5
Keith,NEBRASKA,8034,879,10
Keya Paha,NEBRASKA,806,61,0
Kimball,NEBRASKA,3632,509,1
Knox,NEBRASKA,8332,996,12
Lancaster,NEBRASKA,319090,39896,170
Lincoln,NEBRASKA,34914,5025,60
Logan,NEBRASKA,748,91,0
Loup,NEBRASKA,664,54,0
Madison,NEBRASKA,35099,5356,44
McPherson,NEBRASKA,494,45,1
Merrick,NEBRASKA,7755,927,15
Morrill,NEBRASKA,4642,681,7
Nance,NEBRASKA,3519,485,10
Nemaha,NEBRASKA,6972,873,15
Nuckolls,NEBRASKA,4148,505,11
Otoe,NEBRASKA,16012,1774,10
Out of NE,NEBRASKA,0,0,0
Pawnee,NEBRASKA,2613,279,1
Perkins,NEBRASKA,2891,325,11
Phelps,NEBRASKA,9034,1213,10
Pierce,NEBRASKA,7148,723,20
Platte,NEBRASKA,33470,4955,50
Polk,NEBRASKA,5213,716,9
Red Willow,NEBRASKA,10724,1485,15
Richardson,NEBRASKA,7865,879,19
Rock,NEBRASKA,1357,120,2
Saline,NEBRASKA,14224,2329,2
Sarpy,NEBRASKA,187196,27029,131
Saunders,NEBRASKA,21578,2961,16
Scotts Bluff,NEBRASKA,35618,5204,48
Seward,NEBRASKA,17284,2244,32
Sheridan,NEBRASKA,5246,659,10
Sherman,NEBRASKA,3001,312,4
Sioux,NEBRASKA,1166,49,0
Stanton,NEBRASKA,5920,447,11
Thayer,NEBRASKA,5003,656,4
Thomas,NEBRASKA,722,61,1
Thurston,NEBRASKA,7224,973,11
Unassigned,NEBRASKA,0,2135,197
Valley,NEBRASKA,4158,437,2
Washington,NEBRASKA,20729,2637,25
Wayne,NEBRASKA,9385,1187,7
Webster,NEBRASKA,3487,453,7
Wheeler,NEBRASKA,783,61,0
York,NEBRASKA,13679,2239,11
Carson City,NEVADA,55916,8328,146
Churchill,NEVADA,24909,3323,56
Clark,NEVADA,2266715,320777,5660
Douglas,NEVADA,48905,4396,50
Elko,NEVADA,52778,7328,93
Esmeralda,NEVADA,873,58,0
Eureka,NEVADA,2029,143,0
Humboldt,NEVADA,16831,1966,19
Lander,NEVADA,5532,673,14
Lincoln,NEVADA,5183,492,4
Lyon,NEVADA,57510,6015,93
Mineral,NEVADA,4505,520,11
Nye,NEVADA,46523,4127,135
Out of NV,NEVADA,0,0,0
Pershing,NEVADA,6725,1067,23
Storey,NEVADA,4123,191,4
Unassigned,NEVADA,0,0,0
Washoe,NEVADA,471519,61875,848
White Pine,NEVADA,9580,1050,10
Belknap,NEW HAMPSHIRE,61303,5459,116
Carroll,NEW HAMPSHIRE,48910,3275,19
Cheshire,NEW HAMPSHIRE,76085,5072,45
Coos,NEW HAMPSHIRE,31563,2726,47
Grafton,NEW HAMPSHIRE,89886,5211,30
Hillsborough,NEW HAMPSHIRE,417025,42411,665
Merrimack,NEW HAMPSHIRE,151391,11966,127
Out of NH,NEW HAMPSHIRE,0,0,0
Rockingham,NEW HAMPSHIRE,309769,29012,289
Strafford,NEW HAMPSHIRE,130633,12150,111
Sullivan,NEW HAMPSHIRE,43146,2571,31
Unassigned,NEW HAMPSHIRE,0,910,1
Atlantic,NEW JERSEY,263670,37896,740
Bergen,NEW JERSEY,932202,116922,2962
Burlington,NEW JERSEY,445349,52391,923
Camden,NEW JERSEY,506471,65449,1406
Cape May,NEW JERSEY,92039,11960,229
Cumberland,NEW JERSEY,149527,20007,463
Essex,NEW JERSEY,798975,104546,3125
Gloucester,NEW JERSEY,291636,36602,699
Hudson,NEW JERSEY,672391,95891,2373
Hunterdon,NEW JERSEY,124371,11450,187
Mercer,NEW JERSEY,367430,38277,992
Middlesex,NEW JERSEY,825062,103691,2428
Monmouth,NEW JERSEY,618795,89283,1707
Morris,NEW JERSEY,491845,56336,1288
Ocean,NEW JERSEY,607186,90343,2292
Out of NJ,NEW JERSEY,0,0,0
Passaic,NEW JERSEY,501826,79968,1994
Salem,NEW JERSEY,62385,7315,200
Somerset,NEW JERSEY,328934,34092,868
Sussex,NEW JERSEY,140488,16268,319
Unassigned,NEW JERSEY,0,675,0
Union,NEW JERSEY,556341,78721,2026
Warren,NEW JERSEY,105267,11549,251
Bernalillo,NEW MEXICO,679121,71541,1071
Catron,NEW MEXICO,3527,144,7
Chaves,NEW MEXICO,64615,11971,190
Cibola,NEW MEXICO,26675,3349,135
Colfax,NEW MEXICO,11941,1167,46
Curry,NEW MEXICO,48954,7104,106
De Baca,NEW MEXICO,1748,220,3
Dona Ana,NEW MEXICO,218195,28657,522
Eddy,NEW MEXICO,58460,10352,184
Grant,NEW MEXICO,26998,2092,48
Guadalupe,NEW MEXICO,4300,585,15
Harding,NEW MEXICO,625,16,2
Hidalgo,NEW MEXICO,4198,540,11
Lea,NEW MEXICO,71070,13047,248
Lincoln,NEW MEXICO,19572,2674,29
Los Alamos,NEW MEXICO,19369,668,9
Luna,NEW MEXICO,23709,3794,93
McKinley,NEW MEXICO,71367,13876,496
Mora,NEW MEXICO,4521,302,10
Otero,NEW MEXICO,67490,5594,96
Out of NM,NEW MEXICO,0,0,0
Quay,NEW MEXICO,8253,940,14
Rio Arriba,NEW MEXICO,38921,4511,83
Roosevelt,NEW MEXICO,18500,2583,67
San Juan,NEW MEXICO,123958,18573,534
San Miguel,NEW MEXICO,27277,2385,20
Sandoval,NEW MEXICO,146748,14926,264
Santa Fe,NEW MEXICO,150358,12379,165
Sierra,NEW MEXICO,10791,957,54
Socorro,NEW MEXICO,16637,1600,62
Taos,NEW MEXICO,32723,2225,61
Torrance,NEW MEXICO,15461,1279,18
Unassigned,NEW MEXICO,0,4872,0
Union,NEW MEXICO,4059,326,11
Valencia,NEW MEXICO,76688,8566,138
Albany,NEW YORK,305506,29378,373
Allegany,NEW YORK,46091,4217,93
Bronx,NEW YORK,1418207,204075,6720
Broome,NEW YORK,190488,22780,394
Cattaraugus,NEW YORK,76117,7056,102
Cayuga,NEW YORK,76576,8199,106
Chautauqua,NEW YORK,126903,11659,162
Chemung,NEW YORK,83456,9788,149
Chenango,NEW YORK,47207,4359,86
Clinton,NEW YORK,80485,6163,36
Columbia,NEW YORK,59461,4822,110
Cortland,NEW YORK,47581,5041,73
Delaware,NEW YORK,44135,3264,41
Dutchess,NEW YORK,294218,34519,492
Erie,NEW YORK,918702,101835,1905
Essex,NEW YORK,36885,2088,30
Franklin,NEW YORK,50022,3839,17
Fulton,NEW YORK,53383,5748,99
Genesee,NEW YORK,57280,6431,132
Greene,NEW YORK,47188,4143,84
Hamilton,NEW YORK,4416,415,3
Herkimer,NEW YORK,61319,6256,120
Jefferson,NEW YORK,109834,7947,71
Kings,NEW YORK,2559903,323465,10785
Lewis,NEW YORK,26296,3369,37
Livingston,NEW YORK,62914,5402,68
Madison,NEW YORK,70941,5715,98
Monroe,NEW YORK,741770,80439,1162
Montgomery,NEW YORK,49221,5380,135
Nassau,NEW YORK,1356924,209987,3271
New York,NEW YORK,1628706,164507,4614
Niagara,NEW YORK,209281,22876,389
Oneida,NEW YORK,228671,26939,566
Onondaga,NEW YORK,460528,48409,736
Ontario,NEW YORK,109777,8871,102
Orange,NEW YORK,384940,55659,903
Orleans,NEW YORK,40352,3937,85
Oswego,NEW YORK,117124,10398,107
Otsego,NEW YORK,59493,4310,51
Out of NY,NEW YORK,0,0,301
Putnam,NEW YORK,98320,12090,96
Queens,NEW YORK,2253858,309155,10223
Rensselaer,NEW YORK,158714,13879,158
Richmond,NEW YORK,476143,86828,1914
Rockland,NEW YORK,325789,51729,769
Saratoga,NEW YORK,229863,19114,191
Schenectady,NEW YORK,155299,15782,220
Schoharie,NEW YORK,30999,2181,21
Schuyler,NEW YORK,17807,1374,16
Seneca,NEW YORK,34016,2598,60
St. Lawrence,NEW YORK,107740,9456,122
Steuben,NEW YORK,95379,9110,165
Suffolk,NEW YORK,1476601,232788,3543
Sullivan,NEW YORK,75432,8050,82
Tioga,NEW YORK,48203,4637,68
Tompkins,NEW YORK,102180,6197,59
Ulster,NEW YORK,177573,16737,275
Unassigned,NEW YORK,0,137,28
Warren,NEW YORK,63944,4953,79
Washington,NEW YORK,61204,4209,65
Wayne,NEW YORK,89918,7385,79
Westchester,NEW YORK,967506,142030,2335
Wyoming,NEW YORK,39859,4079,55
Yates,NEW YORK,24913,1456,26
Alamance,NORTH CAROLINA,169509,24979,310
Alexander,NORTH CAROLINA,37497,6109,111
Alleghany,NORTH CAROLINA,11137,1540,5
Anson,NORTH CAROLINA,24446,3643,74
Ashe,NORTH CAROLINA,27203,3233,46
Avery,NORTH CAROLINA,17557,2577,32
Beaufort,NORTH CAROLINA,46994,6666,120
Bertie,NORTH CAROLINA,18947,2364,49
Bladen,NORTH CAROLINA,32722,5295,92
Brunswick,NORTH CAROLINA,142820,15348,216
Buncombe,NORTH CAROLINA,261191,26050,396
Burke,NORTH CAROLINA,90485,14891,200
Cabarrus,NORTH CAROLINA,216453,31289,313
Caldwell,NORTH CAROLINA,82178,12620,110
Camden,NORTH CAROLINA,10867,1032,8
Carteret,NORTH CAROLINA,69473,7817,58
Caswell,NORTH CAROLINA,22604,3008,34
Catawba,NORTH CAROLINA,159551,26994,390
Chatham,NORTH CAROLINA,74470,6461,91
Cherokee,NORTH CAROLINA,28612,4467,69
Chowan,NORTH CAROLINA,13943,2190,40
Clay,NORTH CAROLINA,11231,1522,34
Cleveland,NORTH CAROLINA,97947,17245,290
Columbus,NORTH CAROLINA,55508,9751,212
Craven,NORTH CAROLINA,102139,13579,148
Cumberland,NORTH CAROLINA,335509,42347,440
Currituck,NORTH CAROLINA,27763,2520,24
Dare,NORTH CAROLINA,37009,3568,12
Davidson,NORTH CAROLINA,167609,24589,268
Davie,NORTH CAROLINA,42846,5972,65
Duplin,NORTH CAROLINA,58741,9471,170
Durham,NORTH CAROLINA,321488,33106,252
Edgecombe,NORTH CAROLINA,51472,7558,117
Forsyth,NORTH CAROLINA,382295,49112,513
Franklin,NORTH CAROLINA,69685,9313,60
Gaston,NORTH CAROLINA,224529,37817,567
Gates,NORTH CAROLINA,11562,989,17
Graham,NORTH CAROLINA,8441,1266,24
Granville,NORTH CAROLINA,60443,7558,96
Greene,NORTH CAROLINA,21069,3174,53
Guilford,NORTH CAROLINA,537174,63969,833
Halifax,NORTH CAROLINA,50010,7451,131
Harnett,NORTH CAROLINA,135976,17383,234
Haywood,NORTH CAROLINA,62317,6922,133
Henderson,NORTH CAROLINA,117417,14378,187
Hertford,NORTH CAROLINA,23677,2672,69
Hoke,NORTH CAROLINA,55234,6815,74
Hyde,NORTH CAROLINA,4937,811,11
Iredell,NORTH CAROLINA,181806,27466,300
Jackson,NORTH CAROLINA,43938,5267,68
Johnston,NORTH CAROLINA,209339,30947,301
Jones,NORTH CAROLINA,9419,1255,29
Lee,NORTH CAROLINA,61779,9001,100
Lenoir,NORTH CAROLINA,55949,9101,144
Lincoln,NORTH CAROLINA,86111,14166,92
Macon,NORTH CAROLINA,35858,4654,54
Madison,NORTH CAROLINA,21755,2588,55
Martin,NORTH CAROLINA,22440,3443,61
McDowell,NORTH CAROLINA,45756,8099,112
Mecklenburg,NORTH CAROLINA,1110356,150845,1166
Mitchell,NORTH CAROLINA,14964,1891,18
Montgomery,NORTH CAROLINA,27173,4318,107
Moore,NORTH CAROLINA,100880,13002,235
Nash,NORTH CAROLINA,94298,14700,221
New Hanover,NORTH CAROLINA,234473,27590,265
Northampton,NORTH CAROLINA,19483,2484,62
Onslow,NORTH CAROLINA,197938,26559,230
Orange,NORTH CAROLINA,148476,11229,108
Out of NC,NORTH CAROLINA,0,0,0
Pamlico,NORTH CAROLINA,12726,1607,20
Pasquotank,NORTH CAROLINA,39824,4677,95
Pender,NORTH CAROLINA,63060,8492,93
Perquimans,NORTH CAROLINA,13463,1436,11
Person,NORTH CAROLINA,39490,4881,85
Pitt,NORTH CAROLINA,180742,28410,138
Polk,NORTH CAROLINA,20724,2205,42
Randolph,NORTH CAROLINA,143667,20452,284
Richmond,NORTH CAROLINA,44829,6846,134
Robeson,NORTH CAROLINA,130625,24262,402
Rockingham,NORTH CAROLINA,91010,11138,192
Rowan,NORTH CAROLINA,142088,25192,414
Rutherford,NORTH CAROLINA,67029,10666,290
Sampson,NORTH CAROLINA,63531,10730,127
Scotland,NORTH CAROLINA,34823,5479,103
Stanly,NORTH CAROLINA,62806,11041,164
Stokes,NORTH CAROLINA,45591,5790,97
Surry,NORTH CAROLINA,71783,11558,217
Swain,NORTH CAROLINA,14271,1836,22
Transylvania,NORTH CAROLINA,34385,3699,43
Tyrrell,NORTH CAROLINA,4016,516,6
Unassigned,NORTH CAROLINA,0,678,0
Union,NORTH CAROLINA,239859,34540,298
Vance,NORTH CAROLINA,44535,6330,93
Wake,NORTH CAROLINA,1111761,123334,842
Warren,NORTH CAROLINA,19731,2255,27
Washington,NORTH CAROLINA,11580,1497,34
Watauga,NORTH CAROLINA,56177,6295,34
Wayne,NORTH CAROLINA,123131,15174,294
Wilkes,NORTH CAROLINA,68412,10159,166
Wilson,NORTH CAROLINA,81801,12653,214
Yadkin,NORTH CAROLINA,37667,5692,69
Yancey,NORTH CAROLINA,18069,2661,29
Adams,NORTH DAKOTA,2216,341,4
Barnes,NORTH DAKOTA,10415,1655,32
Benson,NORTH DAKOTA,6832,1238,20
Billings,NORTH DAKOTA,928,74,0
Bottineau,NORTH DAKOTA,6282,901,20
Bowman,NORTH DAKOTA,3024,499,7
Burke,NORTH DAKOTA,2115,286,3
Burleigh,NORTH DAKOTA,95626,20353,217
Cass,NORTH DAKOTA,181923,29294,228
Cavalier,NORTH DAKOTA,3762,519,5
Dickey,NORTH DAKOTA,4872,901,33
Divide,NORTH DAKOTA,2264,247,2
Dunn,NORTH DAKOTA,4424,599,7
Eddy,NORTH DAKOTA,2287,496,6
Emmons,NORTH DAKOTA,3241,530,14
Foster,NORTH DAKOTA,3210,627,19
Golden Valley,NORTH DAKOTA,1761,309,4
Grand Forks,NORTH DAKOTA,69451,12209,81
Grant,NORTH DAKOTA,2274,280,7
Griggs,NORTH DAKOTA,2231,361,2
Hettinger,NORTH DAKOTA,2499,437,5
Kidder,NORTH DAKOTA,2480,333,10
LaMoure,NORTH DAKOTA,4046,630,17
Logan,NORTH DAKOTA,1850,307,10
McHenry,NORTH DAKOTA,5745,781,23
McIntosh,NORTH DAKOTA,2497,429,8
McKenzie,NORTH DAKOTA,15024,2106,17
McLean,NORTH DAKOTA,9450,1586,33
Mercer,NORTH DAKOTA,8187,1487,11
Morton,NORTH DAKOTA,31364,6681,104
Mountrail,NORTH DAKOTA,10545,1749,23
Nelson,NORTH DAKOTA,2879,533,16
Oliver,NORTH DAKOTA,1959,183,3
Out of ND,NORTH DAKOTA,0,0,0
Pembina,NORTH DAKOTA,6801,1104,11
Pierce,NORTH DAKOTA,3975,719,26
Ramsey,NORTH DAKOTA,11519,2019,33
Ransom,NORTH DAKOTA,5218,870,18
Renville,NORTH DAKOTA,2327,355,14
Richland,NORTH DAKOTA,16177,2315,19
Rolette,NORTH DAKOTA,14176,2583,30
Sargent,NORTH DAKOTA,3898,571,7
Sheridan,NORTH DAKOTA,1315,143,3
Sioux,NORTH DAKOTA,4230,816,14
Slope,NORTH DAKOTA,750,39,0
Stark,NORTH DAKOTA,31489,6645,53
Steele,NORTH DAKOTA,1890,233,2
Stutsman,NORTH DAKOTA,20704,4104,82
Towner,NORTH DAKOTA,2189,364,11
Traill,NORTH DAKOTA,8036,1204,18
Unassigned,NORTH DAKOTA,0,0,34
Walsh,NORTH DAKOTA,10641,2147,28
Ward,NORTH DAKOTA,67641,11898,209
Wells,NORTH DAKOTA,3834,524,9
Williams,NORTH DAKOTA,37589,6171,43
,NORTHERN MARIANA ISLANDS,55144,272,2
Adams,OHIO,27698,3894,80
Allen,OHIO,102351,14875,266
Ashland,OHIO,53484,6321,117
Ashtabula,OHIO,97241,8813,190
Athens,OHIO,65327,7349,66
Auglaize,OHIO,45656,6208,89
Belmont,OHIO,67006,8529,190
Brown,OHIO,43432,5963,77
Butler,OHIO,383134,49189,674
Carroll,OHIO,26914,2770,54
Champaign,OHIO,38885,4735,64
Clark,OHIO,134083,18762,334
Clermont,OHIO,206428,26774,305
Clinton,OHIO,41968,5548,86
Columbiana,OHIO,101883,12626,244
Coshocton,OHIO,36600,4238,74
Crawford,OHIO,41494,5816,125
Cuyahoga,OHIO,1235072,139093,2356
Darke,OHIO,51113,7131,143
Defiance,OHIO,38087,5751,101
Delaware,OHIO,209177,23105,150
Erie,OHIO,74266,10157,175
Fairfield,OHIO,157574,21340,228
Fayette,OHIO,28525,3973,56
Franklin,OHIO,1316756,157296,1602
Fulton,OHIO,42126,5628,87
Gallia,OHIO,29898,3781,61
Geauga,OHIO,93649,8440,158
Greene,OHIO,168937,21164,281
Guernsey,OHIO,38875,5139,66
Hamilton,OHIO,817473,101129,1351
Hancock,OHIO,75783,8948,145
Hardin,OHIO,31365,3819,71
Harrison,OHIO,15040,1684,41
Henry,OHIO,27006,3418,69
Highland,OHIO,43161,5662,92
Hocking,OHIO,28264,3264,72
Holmes,OHIO,43960,3393,112
Huron,OHIO,58266,7812,133
Jackson,OHIO,32413,4586,67
Jefferson,OHIO,65325,8019,180
Knox,OHIO,62322,7134,125
Lake,OHIO,230149,25393,424
Lawrence,OHIO,59463,9294,126
Licking,OHIO,176862,21987,259
Logan,OHIO,45672,5358,90
Lorain,OHIO,309833,33160,551
Lucas,OHIO,428348,53092,877
Madison,OHIO,44731,5635,72
Mahoning,OHIO,228683,28472,654
Marion,OHIO,65093,11245,153
Medina,OHIO,179746,20743,297
Meigs,OHIO,22907,2374,44
Mercer,OHIO,41172,5823,91
Miami,OHIO,106987,14562,271
Monroe,OHIO,13654,1999,50
Montgomery,OHIO,531687,70025,1183
Morgan,OHIO,14508,1772,30
Morrow,OHIO,35328,4230,54
Muskingum,OHIO,86215,13556,162
Noble,OHIO,14424,1841,44
Ottawa,OHIO,40525,4562,84
Out of OH,OHIO,0,0,0
Paulding,OHIO,18672,2580,43
Perry,OHIO,36134,4851,56
Pickaway,OHIO,58457,10896,131
Pike,OHIO,27772,4141,50
Portage,OHIO,162466,16906,236
Preble,OHIO,40882,5331,115
Putnam,OHIO,33861,5037,108
Richland,OHIO,121154,17306,252
Ross,OHIO,76666,9977,185
Sandusky,OHIO,58518,7244,137
Scioto,OHIO,75314,10932,133
Seneca,OHIO,55178,6745,139
Shelby,OHIO,48590,6071,106
Stark,OHIO,370606,43676,1005
Summit,OHIO,541013,58348,1067
Trumbull,OHIO,197974,21148,528
Tuscarawas,OHIO,91987,11709,277
Unassigned,OHIO,0,0,5
Union,OHIO,58988,7729,53
Van Wert,OHIO,28275,3361,73
Vinton,OHIO,13085,1489,20
Warren,OHIO,234602,31182,345
Washington,OHIO,59911,7710,131
Wayne,OHIO,115710,12750,254
Williams,OHIO,36692,4861,83
Wood,OHIO,130817,16410,210
Wyandot,OHIO,21772,2956,58
Adair,OKLAHOMA,22194,4729,55
Alfalfa,OKLAHOMA,5702,1264,7
Atoka,OKLAHOMA,13758,2613,30
Beaver,OKLAHOMA,5311,533,6
Beckham,OKLAHOMA,21859,3254,61
Blaine,OKLAHOMA,9429,1446,24
Bryan,OKLAHOMA,47995,8234,97
Caddo,OKLAHOMA,28762,4959,104
Canadian,OKLAHOMA,148306,21936,224
Carter,OKLAHOMA,48111,8577,148
Cherokee,OKLAHOMA,48657,8694,96
Choctaw,OKLAHOMA,14672,2547,41
Cimarron,OKLAHOMA,2137,301,2
Cleveland,OKLAHOMA,284014,41284,517
Coal,OKLAHOMA,5495,992,19
Comanche,OKLAHOMA,120749,20139,244
Cotton,OKLAHOMA,5666,911,19
Craig,OKLAHOMA,14142,2865,29
Creek,OKLAHOMA,71522,10466,220
Custer,OKLAHOMA,29003,4742,111
Delaware,OKLAHOMA,43009,7008,126
Dewey,OKLAHOMA,4891,643,16
Ellis,OKLAHOMA,3859,406,6
Garfield,OKLAHOMA,61056,9505,151
Garvin,OKLAHOMA,27711,4577,88
Grady,OKLAHOMA,55834,7709,151
Grant,OKLAHOMA,4333,684,7
Greer,OKLAHOMA,5712,712,23
Harmon,OKLAHOMA,2653,352,6
Harper,OKLAHOMA,3688,472,8
Haskell,OKLAHOMA,12627,1798,25
Hughes,OKLAHOMA,13279,1598,37
Jackson,OKLAHOMA,24530,3709,63
Jefferson,OKLAHOMA,6002,895,18
Johnston,OKLAHOMA,11085,1855,43
Kay,OKLAHOMA,43538,6792,146
Kingfisher,OKLAHOMA,15765,2507,44
Kiowa,OKLAHOMA,8708,1058,29
Latimer,OKLAHOMA,10073,1409,14
Le Flore,OKLAHOMA,49853,7664,75
Lincoln,OKLAHOMA,34877,4539,97
Logan,OKLAHOMA,48011,5807,90
Love,OKLAHOMA,10253,1919,26
Major,OKLAHOMA,7629,1167,27
Marshall,OKLAHOMA,16931,2640,25
Mayes,OKLAHOMA,41100,6415,99
McClain,OKLAHOMA,40474,7137,90
McCurtain,OKLAHOMA,32832,5454,106
McIntosh,OKLAHOMA,19596,2772,75
Murray,OKLAHOMA,14073,2506,49
Muskogee,OKLAHOMA,67997,12800,234
Noble,OKLAHOMA,11131,1820,27
Nowata,OKLAHOMA,10076,1734,23
Okfuskee,OKLAHOMA,11993,2211,33
Oklahoma,OKLAHOMA,797434,113912,1506
Okmulgee,OKLAHOMA,38465,5554,113
Osage,OKLAHOMA,46963,6592,111
Ottawa,OKLAHOMA,31127,5856,87
Out of OK,OKLAHOMA,0,0,0
Pawnee,OKLAHOMA,16376,2533,59
Payne,OKLAHOMA,81784,11557,94
Pittsburg,OKLAHOMA,43654,6417,95
Pontotoc,OKLAHOMA,38284,6508,90
Pottawatomie,OKLAHOMA,72592,10975,158
Pushmataha,OKLAHOMA,11096,1685,33
Roger Mills,OKLAHOMA,3583,470,12
Rogers,OKLAHOMA,92459,15097,250
Seminole,OKLAHOMA,24258,3599,90
Sequoyah,OKLAHOMA,41569,6462,73
Stephens,OKLAHOMA,43143,7155,117
Texas,OKLAHOMA,19983,3897,36
Tillman,OKLAHOMA,7250,947,19
Tulsa,OKLAHOMA,651552,102751,1440
Unassigned,OKLAHOMA,0,5726,0
Wagoner,OKLAHOMA,81289,12044,179
Washington,OKLAHOMA,51527,8159,171
Washita,OKLAHOMA,10916,1417,24
Woods,OKLAHOMA,8793,1562,21
Woodward,OKLAHOMA,20211,3582,40
Baker,OREGON,16124,1894,25
Benton,OREGON,93053,4915,30
Clackamas,OREGON,418187,27909,279
Clatsop,OREGON,40224,2300,27
Columbia,OREGON,52354,3488,39
Coos,OREGON,64487,4575,76
Crook,OREGON,24404,2373,40
Curry,OREGON,22925,1726,18
Deschutes,OREGON,197692,18135,105
Douglas,OREGON,110980,11288,220
Gilliam,OREGON,1912,143,4
Grant,OREGON,7199,915,10
Harney,OREGON,7393,974,23
Hood River,OREGON,23382,1719,36
Jackson,OREGON,220944,21818,281
Jefferson,OREGON,24658,3390,49
Josephine,OREGON,87487,8952,182
Klamath,OREGON,68238,7027,97
Lake,OREGON,7869,803,8
Lane,OREGON,382067,25509,271
Lincoln,OREGON,49962,2953,31
Linn,OREGON,129749,11407,97
Malheur,OREGON,30571,5150,70
Marion,OREGON,347818,34416,411
Morrow,OREGON,11603,1743,22
Multnomah,OREGON,812855,53193,652
Out of OR,OREGON,0,0,0
Polk,OREGON,86085,6673,75
Sherman,OREGON,1780,138,3
Tillamook,OREGON,27036,1881,24
Umatilla,OREGON,77950,13516,129
Unassigned,OREGON,0,0,0
Union,OREGON,26835,2956,40
Wallowa,OREGON,7208,582,12
Wasco,OREGON,26682,2618,39
Washington,OREGON,601592,36545,285
Wheeler,OREGON,1332,65,1
Yamhill,OREGON,107100,8020,104
Adams,PENNSYLVANIA,103009,12162,199
Allegheny,PENNSYLVANIA,1216045,122150,2175
Armstrong,PENNSYLVANIA,64735,7758,173
Beaver,PENNSYLVANIA,163929,19924,433
Bedford,PENNSYLVANIA,47888,6106,155
Berks,PENNSYLVANIA,421164,55072,1092
Blair,PENNSYLVANIA,121829,15701,356
Bradford,PENNSYLVANIA,60323,7027,107
Bucks,PENNSYLVANIA,628270,69502,1378
Butler,PENNSYLVANIA,187853,22818,459
Cambria,PENNSYLVANIA,130192,17576,469
Cameron,PENNSYLVANIA,4447,426,10
Carbon,PENNSYLVANIA,64182,7985,186
Centre,PENNSYLVANIA,162385,19522,235
Chester,PENNSYLVANIA,524989,47641,850
Clarion,PENNSYLVANIA,38438,4119,107
Clearfield,PENNSYLVANIA,79255,10250,178
Clinton,PENNSYLVANIA,38632,4415,71
Columbia,PENNSYLVANIA,64964,7084,143
Crawford,PENNSYLVANIA,84629,9700,171
Cumberland,PENNSYLVANIA,253370,25646,567
Dauphin,PENNSYLVANIA,278299,32121,597
Delaware,PENNSYLVANIA,566747,59477,1464
Elk,PENNSYLVANIA,29910,3678,49
Erie,PENNSYLVANIA,269728,26070,453
Fayette,PENNSYLVANIA,129274,15992,357
Forest,PENNSYLVANIA,7247,1538,23
Franklin,PENNSYLVANIA,155027,20041,420
Fulton,PENNSYLVANIA,14530,1961,26
Greene,PENNSYLVANIA,36233,4320,49
Huntingdon,PENNSYLVANIA,45144,6243,146
Indiana,PENNSYLVANIA,84073,8102,198
Jefferson,PENNSYLVANIA,43425,4278,106
Juniata,PENNSYLVANIA,24763,2643,107
Lackawanna,PENNSYLVANIA,209674,21362,507
Lancaster,PENNSYLVANIA,545724,66364,1244
Lawrence,PENNSYLVANIA,85512,9854,243
Lebanon,PENNSYLVANIA,141793,19216,313
Lehigh,PENNSYLVANIA,369318,46321,911
Luzerne,PENNSYLVANIA,317417,37685,872
Lycoming,PENNSYLVANIA,113299,14665,323
McKean,PENNSYLVANIA,40625,4526,78
Mercer,PENNSYLVANIA,109424,12321,297
Mifflin,PENNSYLVANIA,46138,6466,185
Monroe,PENNSYLVANIA,170271,18350,350
Montgomery,PENNSYLVANIA,830915,81195,1794
Montour,PENNSYLVANIA,18230,2281,68
Northampton,PENNSYLVANIA,305285,42417,763
Northumberland,PENNSYLVANIA,90843,11556,391
Out of PA,PENNSYLVANIA,0,0,0
Perry,PENNSYLVANIA,46272,4819,109
