County,State,Population,Total_cases,Total_deaths
Out of TN,Tennessee,0,28289,122
Overton,Tennessee,22241,4601,78
Perry,Tennessee,8076,1540,32
Pickett,Tennessee,5048,1033,24
Polk,Tennessee,16832,3050,27
Putnam,Tennessee,80245,16217,208
Rhea,Tennessee,33167,6726,89
Roane,Tennessee,53382,9494,143
Robertson,Tennessee,71813,13665,175
Rutherford,Tennessee,332285,59925,518
Scott,Tennessee,22068,4827,54
Sequatchie,Tennessee,15026,2860,29
Sevier,Tennessee,98250,19129,242
Shelby,Tennessee,937166,140494,2085
Smith,Tennessee,20157,4056,44
Stewart,Tennessee,13715,2049,33
Sullivan,Tennessee,158348,25424,392
Sumner,Tennessee,191283,33172,401
Tipton,Tennessee,61599,10971,125
Trousdale,Tennessee,11284,3063,24
Unassigned,Tennessee,0,21113,117
Unicoi,Tennessee,17883,3034,59
Union,Tennessee,19972,2893,42
Van Buren,Tennessee,5872,1181,25
Warren,Tennessee,41277,8252,102
Washington,Tennessee,129375,20764,308
Wayne,Tennessee,16673,3930,38
Weakley,Tennessee,33328,6013,81
White,Tennessee,27345,5370,89
Williamson,Tennessee,238412,38385,261
Wilson,Tennessee,144657,26253,318
Anderson,Texas,57735,7805,180
Andrews,Texas,18705,2688,52
Angelina,Texas,86715,13303,366
Aransas,Texas,23510,2529,58
Archer,Texas,8553,1100,15
Armstrong,Texas,1887,262,7
Atascosa,Texas,51153,8271,193
Austin,Texas,30032,3325,50
Bailey,Texas,7000,980,23
Bandera,Texas,23112,2174,48
Bastrop,Texas,88723,13914,150
Baylor,Texas,3509,517,18
Bee,Texas,32565,5237,117
Bell,Texas,362924,37157,646
Bexar,Texas,2003554,311333,4769
Blanco,Texas,11931,1255,27
Borden,Texas,654,39,2
Bosque,Texas,18685,2371,52
Bowie,Texas,93245,12287,293
Brazoria,Texas,374264,57379,763
Brazos,Texas,229211,37016,334
Brewster,Texas,9203,1034,19
Briscoe,Texas,1546,207,7
Brooks,Texas,7093,1113,45
Brown,Texas,37864,6833,159
Burleson,Texas,18443,3127,57
Burnet,Texas,48155,7166,107
Caldwell,Texas,43664,8226,139
Calhoun,Texas,21290,3791,32
Callahan,Texas,13943,1674,52
Cameron,Texas,423163,63896,1729
Camp,Texas,13094,1959,62
Carson,Texas,5926,741,23
Cass,Texas,30026,4263,127
Castro,Texas,7530,1256,34
Chambers,Texas,43837,8503,50
Cherokee,Texas,52646,6616,193
Childress,Texas,7306,1510,20
Clay,Texas,10471,1379,23
Cochran,Texas,2853,428,16
Coke,Texas,3387,659,16
Coleman,Texas,8175,990,49
Collin,Texas,1034730,124827,1035
Collingsworth,Texas,2920,383,9
Colorado,Texas,21493,2470,51
Comal,Texas,156209,18594,426
Comanche,Texas,13635,2097,59
Concho,Texas,2726,689,10
Cooke,Texas,41257,4910,88
Coryell,Texas,75951,10324,145
Cottle,Texas,1398,217,9
Crane,Texas,4797,824,16
Crockett,Texas,3464,762,16
Crosby,Texas,5737,958,33
Culberson,Texas,2171,382,11
Dallam,Texas,7287,1163,28
Dallas,Texas,2635516,389318,4931
Dawson,Texas,12728,2061,75
DeWitt,Texas,20160,2909,78
Deaf Smith,Texas,18546,3313,70
Delta,Texas,5331,578,19
Denton,Texas,887207,101276,928
Dickens,Texas,2211,237,10
Dimmit,Texas,10124,3713,42
Donley,Texas,3278,542,18
Duval,Texas,11157,1928,54
Eastland,Texas,18360,2008,72
Ector,Texas,166223,24998,490
Edwards,Texas,1932,315,7
El Paso,Texas,839238,145433,2829
Ellis,Texas,184826,31652,411
Erath,Texas,42698,6043,93
Falls,Texas,17297,2566,41
Fannin,Texas,35514,4669,136
Fayette,Texas,25346,3556,88
Fisher,Texas,3830,402,16
Floyd,Texas,5712,1097,34
Foard,Texas,1155,178,10
Fort Bend,Texas,811688,95676,890
Franklin,Texas,10725,1254,31
Freestone,Texas,19717,2677,64
Frio,Texas,20306,3738,65
Gaines,Texas,21492,2048,54
Galveston,Texas,342139,62372,655
Garza,Texas,6229,678,22
Gillespie,Texas,26988,3404,74
Glasscock,Texas,1409,147,3
Goliad,Texas,7658,699,23
Gonzales,Texas,20837,3470,77
Gray,Texas,21886,3384,69
Grayson,Texas,136212,15586,445
Gregg,Texas,123945,18605,484
Grimes,Texas,28880,5048,98
Guadalupe,Texas,166847,23110,302
Hale,Texas,33406,7669,183
Hall,Texas,2964,528,15
Hamilton,Texas,8461,1258,29
Hansford,Texas,5399,1090,26
Hardeman,Texas,3933,442,13
Hardin,Texas,57602,10100,178
Harris,Texas,4713325,558618,8414
Harrison,Texas,66553,8871,161
Hartley,Texas,5576,818,2
Haskell,Texas,5658,554,30
Hays,Texas,230191,31768,367
Hemphill,Texas,3819,676,3
Henderson,Texas,82737,9412,302
Hidalgo,Texas,868707,115420,3347
Hill,Texas,36649,5637,137
Hockley,Texas,23021,4046,127
Hood,Texas,61643,9199,183
Hopkins,Texas,37084,5112,136
Houston,Texas,22968,2762,77
Howard,Texas,36664,5655,120
Hudspeth,Texas,4886,578,14
Hunt,Texas,98594,10389,261
Hutchinson,Texas,20938,3386,83
Irion,Texas,1536,180,2
Jack,Texas,8935,826,19
Jackson,Texas,14760,2724,48
Jasper,Texas,35529,3899,135
Jeff Davis,Texas,2274,204,6
Jefferson,Texas,251565,30882,636
Jim Hogg,Texas,5200,889,20
Jim Wells,Texas,40482,6954,163
Johnson,Texas,175817,26560,488
Jones,Texas,20083,3150,67
Karnes,Texas,15601,3802,52
Kaufman,Texas,136154,22819,380
Kendall,Texas,47431,4850,90
Kenedy,Texas,404,60,2
Kent,Texas,762,120,3
Kerr,Texas,52600,6272,119
Kimble,Texas,4337,428,11
King,Texas,272,14,0
Kinney,Texas,3667,492,8
Kleberg,Texas,30680,4223,125
Knox,Texas,3664,299,20
La Salle,Texas,7520,1183,36
Lamar,Texas,49859,8503,191
Lamb,Texas,12893,2929,87
Lampasas,Texas,21428,3420,58
Lavaca,Texas,20154,3109,91
Lee,Texas,17239,2827,49
Leon,Texas,17404,2381,61
Liberty,Texas,88219,12369,316
Limestone,Texas,23437,3550,104
Lipscomb,Texas,3233,374,12
Live Oak,Texas,12207,1735,34
Llano,Texas,21795,2495,68
Loving,Texas,169,8,0
Lubbock,Texas,310569,63877,933
Lynn,Texas,5951,797,26
Madison,Texas,14284,2407,42
Marion,Texas,9854,1125,44
Martin,Texas,5771,824,22
Mason,Texas,4274,518,7
Matagorda,Texas,36643,5934,146
Maverick,Texas,58722,12537,392
McCulloch,Texas,7984,895,30
McLennan,Texas,256623,40750,660
McMullen,Texas,743,113,7
Medina,Texas,51584,6653,153
Menard,Texas,2138,331,11
Midland,Texas,176832,26831,342
Milam,Texas,24823,3649,75
Mills,Texas,4873,840,26
Mitchell,Texas,8545,871,36
Montague,Texas,19818,2892,86
Montgomery,Texas,607391,85161,954
Moore,Texas,20940,3333,82
Morris,Texas,12388,1584,47
Motley,Texas,1200,148,8
Nacogdoches,Texas,65204,7457,212
Navarro,Texas,50113,8450,172
Newton,Texas,13595,931,47
Nolan,Texas,14714,2369,71
Nueces,Texas,362294,65435,1204
Ochiltree,Texas,9836,1406,32
Oldham,Texas,2112,332,5
Orange,Texas,83396,13460,249
Out of TX,Texas,0,0,0
Palo Pinto,Texas,29189,4523,107
Panola,Texas,23194,2853,101
Parker,Texas,142878,22776,271
Parmer,Texas,9605,1500,35
Pecos,Texas,15823,2119,44
Polk,Texas,51353,5730,181
Potter,Texas,117415,22544,536
Presidio,Texas,6704,893,27
Rains,Texas,12514,1440,37
Randall,Texas,137713,22660,328
Reagan,Texas,3849,556,9
Real,Texas,3452,492,16
Red River,Texas,12023,1296,46
Reeves,Texas,15976,3343,49
Refugio,Texas,6948,1176,29
Roberts,Texas,854,90,1
Robertson,Texas,17074,2856,61
Rockwall,Texas,104915,16832,204
Runnels,Texas,10264,1650,52
Rusk,Texas,54406,7874,155
Sabine,Texas,10542,917,67
San Augustine,Texas,8237,843,35
San Jacinto,Texas,28859,2730,67
San Patricio,Texas,66730,6757,258
San Saba,Texas,6055,915,26
Schleicher,Texas,2793,343,9
Scurry,Texas,16703,3134,81
Shackelford,Texas,3265,397,5
Shelby,Texas,25274,2804,99
Sherman,Texas,3022,294,15
Smith,Texas,232751,34714,683
Somervell,Texas,9128,1405,21
Starr,Texas,64633,11396,328
Stephens,Texas,9366,1097,32
Sterling,Texas,1291,162,5
Stonewall,Texas,1350,204,6
Sutton,Texas,3776,602,11
Swisher,Texas,7397,1373,22
Tarrant,Texas,2102515,346536,4304
Taylor,Texas,138034,21628,495
Terrell,Texas,776,103,3
Terry,Texas,12337,2003,63
Throckmorton,Texas,1501,111,5
Titus,Texas,32750,5585,98
Tom Green,Texas,119200,24327,360
Travis,Texas,1273954,115667,1349
Trinity,Texas,14651,1501,50
Tyler,Texas,21672,2388,65
Unassigned,Texas,0,0,0
Upshur,Texas,41753,5633,122
Upton,Texas,3657,581,13
Uvalde,Texas,26741,6127,92
Val Verde,Texas,49025,10394,236
Van Zandt,Texas,56590,7549,187
Victoria,Texas,92084,12877,315
Walker,Texas,72971,11642,171
Waller,Texas,55246,6189,70
Ward,Texas,11998,1796,26
Washington,Texas,35882,5567,121
Webb,Texas,276652,56033,876
Wharton,Texas,41556,6057,162
Wheeler,Texas,5056,739,12
Wichita,Texas,132230,21162,455
Wilbarger,Texas,12769,2171,58
Willacy,Texas,21358,4495,104
Williamson,Texas,590551,72737,643
Wilson,Texas,51070,7046,120
Winkler,Texas,8010,1069,27
Wise,Texas,69984,10720,177
Wood,Texas,45539,6151,197
Yoakum,Texas,8713,1131,30
Young,Texas,18010,2693,60
Zapata,Texas,14179,2173,41
Zavala,Texas,11840,2461,52
Bear River,Utah,0,27993,137
Beaver,Utah,6710,0,0
Box Elder,Utah,56046,0,0
Cache,Utah,128289,0,0
Carbon,Utah,20463,0,0
Central Utah,Utah,0,12560,97
Daggett,Utah,950,0,0
Davis,Utah,355481,50327,242
Duchesne,Utah,19938,0,0
Emery,Utah,10012,0,0
Garfield,Utah,5051,0,0
Grand,Utah,9754,0,0
Iron,Utah,54839,0,0
Juab,Utah,12017,0,0
Kane,Utah,7886,0,0
Millard,Utah,13188,0,0
Morgan,Utah,12124,0,0
Out of UT,Utah,0,0,0
Piute,Utah,1479,0,0
Rich,Utah,2483,0,0
Salt Lake,Utah,1160437,183169,1083
San Juan,Utah,15308,2242,40
Sanpete,Utah,30939,0,0
Sevier,Utah,21620,0,0
Southeast Utah,Utah,0,5135,38
Southwest Utah,Utah,0,38294,358
Summit,Utah,42145,6442,18
Tooele,Utah,72259,10622,57
TriCounty,Utah,0,7454,58
Uintah,Utah,35734,0,0
Unassigned,Utah,0,1350,3
Utah,Utah,636235,118498,506
Wasatch,Utah,34091,5724,27
Washington,Utah,177556,0,0
Wayne,Utah,2711,0,0
Weber,Utah,260213,0,0
Weber-Morgan,Utah,0,40399,279
Addison,Vermont,36777,1374,8
Bennington,Vermont,35470,2748,22
Caledonia,Vermont,29993,1484,10
Chittenden,Vermont,163774,10229,120
Essex,Vermont,6163,417,2
Franklin,Vermont,49402,2745,43
Grand Isle,Vermont,7235,314,2
Lamoille,Vermont,25362,1125,5
Orange,Vermont,28892,1091,4
Orleans,Vermont,27037,2077,13
Out of VT,Vermont,0,0,0
Rutland,Vermont,58191,3316,26
Unassigned,Vermont,0,23,0
Washington,Vermont,58409,2973,18
Windham,Vermont,42222,1981,23
Windsor,Vermont,55062,2324,25
,Virgin Islands,107268,6811,71
Accomack,Virginia,32316,3797,69
Albemarle,Virginia,109330,7560,93
Alexandria,Virginia,159428,13674,147
Alleghany,Virginia,14860,1947,61
Amelia,Virginia,13145,1310,38
Amherst,Virginia,31605,4099,53
Appomattox,Virginia,15911,2238,34
Arlington,Virginia,236842,17799,264
Augusta,Virginia,75558,9468,110
Bath,Virginia,4147,417,14
Bedford,Virginia,78997,9250,132
Bland,Virginia,6280,1015,13
Botetourt,Virginia,33419,3452,39
Bristol,Virginia,16762,2156,44
Brunswick,Virginia,16231,1706,30
Buchanan,Virginia,21004,2151,50
Buckingham,Virginia,17148,2518,36
Buena Vista,Virginia,6478,1159,22
Campbell,Virginia,54885,6683,127
Caroline,Virginia,30725,3607,46
Carroll,Virginia,29791,3569,85
Charles City,Virginia,6963,649,19
Charlotte,Virginia,11880,1170,24
Charlottesville,Virginia,47266,5096,57
Chesapeake,Virginia,244835,27345,337
Chesterfield,Virginia,352802,37238,504
Clarke,Virginia,14619,1255,21
Colonial Heights,Virginia,17370,2424,64
Covington,Virginia,5538,725,14
Craig,Virginia,5131,475,6
Culpeper,Virginia,52605,6064,75
Cumberland,Virginia,9932,675,13
Danville,Virginia,40044,5864,168
Dickenson,Virginia,14318,1445,22
Dinwiddie,Virginia,28544,2906,50
Emporia,Virginia,5346,841,42
Essex,Virginia,10953,1139,15
Fairfax,Virginia,1147532,88464,1152
Fairfax City,Virginia,24019,634,20
Falls Church,Virginia,14617,519,8
Fauquier,Virginia,71222,6458,81
Floyd,Virginia,15749,1312,24
Fluvanna,Virginia,27270,2442,22
Franklin,Virginia,56042,5554,93
Franklin City,Virginia,7967,1509,40
Frederick,Virginia,89313,10657,124
Fredericksburg,Virginia,29036,2877,25
Galax,Virginia,6347,1433,58
Giles,Virginia,16720,2077,25
Gloucester,Virginia,37348,3615,61
Goochland,Virginia,23753,1861,28
Grayson,Virginia,15550,1928,43
Greene,Virginia,19819,2017,27
Greensville,Virginia,11336,1813,26
Halifax,Virginia,33911,3553,99
Hampton,Virginia,134510,14279,217
Hanover,Virginia,107766,10956,186
Harrisonburg,Virginia,53016,7889,100
Henrico,Virginia,330818,32659,687
Henry,Virginia,50557,5967,140
Highland,Virginia,2190,159,1
Hopewell,Virginia,22529,3523,85
Isle of Wight,Virginia,37109,4129,79
James City,Virginia,76523,6520,89
King George,Virginia,26836,2382,22
King William,Virginia,17148,1768,22
King and Queen,Virginia,7025,581,8
Lancaster,Virginia,10603,1018,21
Lee,Virginia,23423,3437,53
Lexington,Virginia,7446,1496,33
Loudoun,Virginia,413538,32793,291
Louisa,Virginia,37591,2894,41
Lunenburg,Virginia,12196,1000,19
Lynchburg,Virginia,82168,11136,174
Madison,Virginia,13261,906,20
Manassas,Virginia,41085,4860,51
Manassas Park,Virginia,17478,1259,12
Martinsville,Virginia,12554,1924,85
Mathews,Virginia,8834,847,16
Mecklenburg,Virginia,30587,3159,75
Middlesex,Virginia,10582,886,25
Montgomery,Virginia,98535,11290,92
Nelson,Virginia,14930,1231,16
New Kent,Virginia,23091,2133,20
Newport News,Virginia,179225,19430,279
Norfolk,Virginia,242742,23210,306
Northampton,Virginia,11710,1082,40
Northumberland,Virginia,12095,1130,25
Norton,Virginia,3981,498,11
Nottoway,Virginia,15232,2474,60
Orange,Virginia,37051,3350,49
Out of VA,Virginia,0,0,0
Page,Virginia,23902,3070,67
Patrick,Virginia,17608,1885,52
Petersburg,Virginia,31346,5025,101
Pittsylvania,Virginia,60354,7468,100
Poquoson,Virginia,12271,1221,18
Portsmouth,Virginia,94398,11928,222
Powhatan,Virginia,29652,2586,23
Prince Edward,Virginia,22802,2761,46
Prince George,Virginia,38353,4663,35
Prince William,Virginia,470335,52702,541
Pulaski,Virginia,34027,3734,76
Radford,Virginia,18249,2809,30
Rappahannock,Virginia,7370,520,4
Richmond,Virginia,9023,1635,12
Richmond City,Virginia,230436,22730,313
Roanoke,Virginia,94186,10926,156
Roanoke City,Virginia,99143,11280,216
Rockbridge,Virginia,22573,1969,52
Rockingham,Virginia,81948,8728,133
Russell,Virginia,26586,3410,49
Salem,Virginia,25301,3083,56
Scott,Virginia,21566,2755,71
Shenandoah,Virginia,43616,5795,147
Smyth,Virginia,30104,4251,103
Southampton,Virginia,17631,2270,61
Spotsylvania,Virginia,136215,13885,140
Stafford,Virginia,152882,15011,100
Staunton,Virginia,24932,3208,78
Suffolk,Virginia,92108,10284,218
Surry,Virginia,6422,564,10
Sussex,Virginia,11159,1478,26
Tazewell,Virginia,40595,5343,90
Unassigned,Virginia,0,0,0
Virginia Beach,Virginia,449974,47490,494
Warren,Virginia,40164,4538,73
Washington,Virginia,53740,6958,132
Waynesboro,Virginia,22630,3271,42
Westmoreland,Virginia,18015,1685,31
Williamsburg,Virginia,14954,1084,14
Winchester,Virginia,28078,3574,51
Wise,Virginia,37383,4681,121
Wythe,Virginia,28684,4118,89
York,Virginia,68280,5088,69
Adams,Washington,19983,3043,27
Asotin,Washington,22582,2539,46
Benton,Washington,204390,29328,332
Chelan,Washington,77200,10131,97
Clallam,Washington,77331,4173,48
Clark,Washington,488241,37651,423
Columbia,Washington,3985,315,6
Cowlitz,Washington,110593,12221,192
Douglas,Washington,43429,5592,33
Ferry,Washington,7627,631,11
Franklin,Washington,95222,19201,163
Garfield,Washington,2225,207,7
Grant,Washington,97733,14458,127
Grays Harbor,Washington,75061,7667,111
Island,Washington,85141,3476,43
Jefferson,Washington,32221,971,14
King,Washington,2252782,152022,1874
Kitsap,Washington,271473,15105,199
Kittitas,Washington,47935,4547,48
Klickitat,Washington,22425,1664,15
Lewis,Washington,80707,9006,125
Lincoln,Washington,10939,1230,17
Mason,Washington,66768,4940,57
Okanogan,Washington,42243,4563,61
Out of WA,Washington,0,0,0
Pacific,Washington,22471,1664,25
Pend Oreille,Washington,13724,1338,19
Pierce,Washington,904980,83884,805
San Juan,Washington,17582,293,0
Skagit,Washington,129205,9579,99
Skamania,Washington,12083,661,4
Snohomish,Washington,822083,59338,701
Spokane,Washington,522798,65838,916
Stevens,Washington,45723,4375,74
Thurston,Washington,290536,18221,201
Unassigned,Washington,0,1628,3
Wahkiakum,Washington,4488,251,5
Walla Walla,Washington,60760,8219,92
Whatcom,Washington,229247,14682,138
Whitman,Washington,50104,5395,59
Yakima,Washington,250873,40863,548
Barbour,West Virginia,16441,2452,41
Berkeley,West Virginia,119171,16963,158
Boone,West Virginia,21457,3204,42
Braxton,West Virginia,13957,1937,14
Brooke,West Virginia,21939,2886,67
Cabell,West Virginia,91945,13822,227
Calhoun,West Virginia,7109,821,4
Clay,West Virginia,8508,1069,16
Doddridge,West Virginia,8448,1076,8
Fayette,West Virginia,42406,5552,104
Gilmer,West Virginia,7823,1233,8
Grant,West Virginia,11568,1970,31
Greenbrier,West Virginia,34662,4534,80
Hampshire,West Virginia,23175,2832,43
Hancock,West Virginia,28810,3813,99
Hardy,West Virginia,13776,2221,27
Harrison,West Virginia,67256,9719,119
Jackson,West Virginia,28576,3493,72
Jefferson,West Virginia,57146,6371,75
Kanawha,West Virginia,178124,22297,425
Lewis,West Virginia,15907,2679,36
Lincoln,West Virginia,20409,2479,35
Logan,West Virginia,32019,4956,123
Marion,West Virginia,56072,7073,76
Marshall,West Virginia,30531,4960,99
Mason,West Virginia,26516,3323,49
McDowell,West Virginia,17624,2654,39
Mercer,West Virginia,58758,7959,159
Mineral,West Virginia,26868,4240,104
Mingo,West Virginia,23424,4236,65
Monongalia,West Virginia,105612,11792,119
Monroe,West Virginia,13275,1953,25
Morgan,West Virginia,17884,1874,36
Nicholas,West Virginia,24496,3186,34
Ohio,West Virginia,41411,5708,96
Out of WV,West Virginia,0,0,0
Pendleton,West Virginia,6969,1051,12
Pleasants,West Virginia,7460,1335,23
Pocahontas,West Virginia,8247,1036,16
Preston,West Virginia,33432,4504,60
Putnam,West Virginia,56450,7995,109
Raleigh,West Virginia,73361,10372,139
Randolph,West Virginia,28695,4765,35
Ritchie,West Virginia,9554,1332,16
Roane,West Virginia,13688,1285,15
Summers,West Virginia,12573,1333,27
Taylor,West Virginia,16695,1983,34
Tucker,West Virginia,6839,962,17
Tyler,West Virginia,8591,1287,18
Unassigned,West Virginia,0,0,0
Upshur,West Virginia,24176,3606,56
Wayne,West Virginia,39402,5174,60
Webster,West Virginia,8114,999,14
Wetzel,West Virginia,15065,2335,46
Wirt,West Virginia,5821,749,10
Wood,West Virginia,83518,11958,209
Wyoming,West Virginia,20394,3300,51
Adams,Wisconsin,20220,2529,33
Ashland,Wisconsin,15562,1715,16
Barron,Wisconsin,45244,7687,86
Bayfield,Wisconsin,15036,1517,24
Brown,Wisconsin,264542,42084,315
Buffalo,Wisconsin,13031,1820,7
Burnett,Wisconsin,15414,1933,29
Calumet,Wisconsin,50089,7698,58
Chippewa,Wisconsin,64658,9975,111
Clark,Wisconsin,34774,4509,73
Columbia,Wisconsin,57532,7352,78
Crawford,Wisconsin,16131,2097,22
Dane,Wisconsin,546695,54789,357
Dodge,Wisconsin,87839,15086,217
Door,Wisconsin,27668,3451,38
Douglas,Wisconsin,43150,5546,66
Dunn,Wisconsin,45368,6432,42
Eau Claire,Wisconsin,104646,14867,131
Florence,Wisconsin,4295,570,13
Fond du Lac,Wisconsin,103403,16665,153
Forest,Wisconsin,9004,1395,31
Grant,Wisconsin,51439,6897,106
Green,Wisconsin,36960,4272,26
Green Lake,Wisconsin,18913,2745,29
Iowa,Wisconsin,23678,2561,16
Iron,Wisconsin,5687,815,42
Jackson,Wisconsin,20643,3176,31
Jefferson,Wisconsin,84769,11226,147
Juneau,Wisconsin,26687,3934,33
Kenosha,Wisconsin,169561,22675,361
Kewaunee,Wisconsin,20434,3274,41
La Crosse,Wisconsin,118016,16249,105
Lafayette,Wisconsin,16665,1971,11
Langlade,Wisconsin,19189,2812,54
Lincoln,Wisconsin,27593,3917,106
Manitowoc,Wisconsin,78981,10667,103
Marathon,Wisconsin,135692,19402,252
Marinette,Wisconsin,40350,5873,78
Marquette,Wisconsin,15574,1979,29
Menominee,Wisconsin,4556,899,11
Milwaukee,Wisconsin,945726,143120,1548
Monroe,Wisconsin,46253,5859,54
Oconto,Wisconsin,37930,6502,76
Oneida,Wisconsin,35595,4525,85
Out of WI,Wisconsin,0,0,0
Outagamie,Wisconsin,187885,28217,261
Ozaukee,Wisconsin,89221,11507,112
Pepin,Wisconsin,7287,1100,8
Pierce,Wisconsin,42754,5828,44
Polk,Wisconsin,43783,6110,73
Portage,Wisconsin,70772,8857,89
Price,Wisconsin,13351,1617,8
Racine,Wisconsin,196311,30111,438
Richland,Wisconsin,17252,1835,22
Rock,Wisconsin,163354,21231,227
Rusk,Wisconsin,14178,1988,31
Sauk,Wisconsin,64442,7650,62
Sawyer,Wisconsin,16558,2277,31
Shawano,Wisconsin,40899,6475,88
Sheboygan,Wisconsin,115340,17085,174
St. Croix,Wisconsin,90687,11851,82
Taylor,Wisconsin,20343,2723,43
Trempealeau,Wisconsin,29649,4625,52
Unassigned,Wisconsin,0,0,0
Vernon,Wisconsin,30822,2614,53
Vilas,Wisconsin,22195,2837,50
Walworth,Wisconsin,103868,14676,182
Washburn,Wisconsin,15720,2016,25
Washington,Wisconsin,136034,20752,217
Waukesha,Wisconsin,404198,58989,688
Waupaca,Wisconsin,50990,7468,178
Waushara,Wisconsin,24443,3274,48
Winnebago,Wisconsin,171907,25707,245
Wood,Wisconsin,72999,9700,126
Albany,Wyoming,38880,5829,28
Big Horn,Wyoming,11790,1779,39
Campbell,Wyoming,46341,7812,77
Carbon,Wyoming,14800,2448,36
Converse,Wyoming,13822,1925,30
Crook,Wyoming,7584,780,17
Fremont,Wyoming,39261,7718,110
Goshen,Wyoming,13211,1873,29
Hot Springs,Wyoming,4413,817,7
Johnson,Wyoming,8445,1080,13
Laramie,Wyoming,99500,14555,168
Lincoln,Wyoming,19830,2395,15
Natrona,Wyoming,79858,12650,161
Niobrara,Wyoming,2356,314,5
Out of WY,Wyoming,0,0,0
Park,Wyoming,29194,4385,48
Platte,Wyoming,8393,1183,22
Sheridan,Wyoming,30485,4661,41
Sublette,Wyoming,9831,1205,12
Sweetwater,Wyoming,42343,6959,65
Teton,Wyoming,23464,4943,13
Uinta,Wyoming,20226,3550,25
Unassigned,Wyoming,0,0,0
Washakie,Wyoming,7805,1398,27
Weston,Wyoming,6927,910,8
